ExperimentNumber,ExperimentParticipantNumber,AgeMonths,Gender,Toy A (Infant's Choice on Preference Induction Trial),Toy B,Toy C,Infant's Choice at Test,Infant Chose C
4,17,11.47,M,Black Rectangle,Green cube,Orange Arch,Option C,1
4,18,18.99,M,Black Rectangle,Green cube,Orange Arch,Option B,0
4,19,11.04,M,Green cube,Black Rectangle,Orange Arch,Option B,0
4,20,10.61,F,Orange Arch,Green cube,Black Rectangle,Option C,1
4,21,11.20,M,Green cube,Orange Arch,Black Rectangle,Option C,1
4,22,10.94,M,Green cube,Orange Arch,Black Rectangle,Option C,1
4,23,18.56,F,Black Rectangle,Orange Arch,Green cube,Option C,1
4,24,10.91,F,Black Rectangle,Orange Arch,Green cube,Option B,0
4,25,11.66,F,Orange Arch,Black Rectangle,Green cube,Option B,0
4,26,13.11,F,Black Rectangle,Orange Arch,Green cube,Option C,1
4,27,12.39,M,Black Rectangle,Green cube,Orange Arch,Option C,1
4,28,10.55,M,Green cube,Black Rectangle,Orange Arch,Option B,0
4,29,10.94,M,Green cube,Black Rectangle,Orange Arch,Option C,1
4,30,11.14,F,Black Rectangle,Green cube,Orange Arch,Option C,1
